pct_rouille;rugosite;nervure;est_malade
0.0;733.2063556158221;0.0;0.0
0.0;879.1710514836022;0.0;0.0
0.0;987.7824140214083;0.0;0.0
0.0;265.5556013001718;0.0;0.0
0.0;432.4879419671603;0.0;0.0
0.04046866813786972;621.988733688403;0.0;0.0
0.0;838.8756707503787;0.0;0.0
0.0;2925.505794715809;0.0;0.0
0.0;2933.188694316158;0.0;0.0
0.0;1260.4623178129987;0.0;0.0
0.0;2078.0919354781186;0.0;0.0
0.0;866.497503326836;0.0;0.0
0.0;824.7663328555643;0.0;0.0
0.0;2024.1628931005744;0.0;0.0
0.0;3626.635250193178;0.0;0.0
0.0019569471624266144;2815.665130588048;0.0;0.0
0.0;2075.1114770176396;0.0;0.0
3.051850947599719e-05;555.7158480825346;0.0;0.0
0.0;855.4505033569859;0.0;0.0
0.0;1833.5949381248079;0.0;0.0
0.0;874.4072996176963;0.0;0.0
0.0;1974.7493377335036;0.0;0.0
0.0;1129.6127627177634;0.0;0.0
0.0;1111.2853191133272;0.0;0.0
0.0;370.99454683070996;0.0;0.0
0.0;1470.0089709720032;0.0;0.0
0.0;1769.2070672234859;0.0;0.0
0.00032053728153857893;1780.8764137498133;0.0;0.0
0.0;641.3340575445599;0.0;0.0
0.0;467.2941270262564;0.0;0.0
0.0;1116.8844064403545;0.0;0.0
0.0;1385.8327955034051;0.0;0.0
0.0;337.4921186205396;0.0;0.0
0.0;534.4663717042441;0.0;0.0
0.0;651.2829552639012;0.0;0.0
0.0031839333823169237;4513.49946227433;0.0;0.0
0.0;1052.349988857067;0.0;0.0
0.0;901.555283684743;0.0;0.0
0.0;2861.965975127462;0.0;0.0
0.0;3093.093220158541;0.0;0.0
3.051850947599719e-05;1370.748076564019;0.0;0.0
9.156111704562795e-05;1549.506028534547;0.0;0.0
0.0;4074.815375332858;0.0;0.0
0.0;3554.025938680692;0.0;0.0
0.0;4074.1619366923815;0.0;0.0
0.00027473366097866236;2589.789461978563;0.0;0.0
0.0;1461.636131826719;0.0;0.0
0.0;887.5189770600825;0.0;0.0
0.0005801703868820422;782.7018909031883;0.0;0.0
0.0;1184.76769836594;0.0;0.0
0.0;1493.0095128760554;0.0;0.0
0.008929121251308578;2078.4074373601406;0.0;0.0
0.0;300.2403148205524;0.0;0.0
0.0;1044.2323294885387;0.0;0.0
0.0;1280.7939370119293;0.0;0.0
0.0;311.9783489966659;0.0;0.0
4.5778462759220545e-05;651.0910207688339;0.0;0.0
0.0010080953108293875;683.5957313552522;0.0;0.0
0.0;659.8571590332217;0.0;0.0
0.0;1217.4254042604414;0.0;0.0
0.0;563.3898678303779;0.0;0.0
0.0;1138.0667837284623;0.0;0.0
0.0007176777779474416;2052.90575354347;0.0;0.0
0.0;504.4219486228268;0.0;0.0
0.0008093703709359682;1625.0345157772795;0.0;0.0
0.0;3034.2279302754523;0.0;0.0
0.0;1204.3635317519024;0.0;0.0
0.0;2914.0173536034017;0.0;0.0
0.0;793.6164069829772;0.0;0.0
0.0;3314.6624768304405;0.0;0.0
0.0;732.8349545386241;0.0;0.0
0.0;1296.0542178239875;0.0;0.0
0.0;486.7640982482256;0.0;0.0
0.0;403.66961981423754;0.0;0.0
0.0;1442.2434966221226;0.0;0.0
0.0;2324.1852479617664;0.0;0.0
0.0;535.2363867292332;0.0;0.0
0.0;4143.239606759707;0.0;0.0
0.0;488.79732730105775;0.0;0.0
0.0;4842.095368266607;0.0;0.0
0.0;3587.185230417519;0.0;0.0
0.0;682.7126720066702;0.0;0.0
1.5259021896696422e-05;1871.5119669881342;0.0;0.0
0.0;1720.9126416910335;0.0;0.0
0.0;431.9940866800821;0.0;0.0
0.0;726.6510628157371;0.0;0.0
0.0;754.4363338488572;0.0;0.0
0.0;1000.4937039510625;0.0;0.0
0.0;2094.5918612526957;0.0;0.0
0.0021561281443535437;1373.5228152976397;0.0;0.0
0.00012208521548040532;392.8252231771498;0.0;0.0
0.0;1119.211928759657;0.0;0.0
0.0;828.7977387878906;0.0;0.0
0.0;3319.1232343506704;0.0;0.0
0.0;231.25128492715686;0.0;0.0
0.0;1936.967785883451;0.0;0.0
0.00039688597160738817;708.3654712663015;0.0;0.0
0.0;1243.5051652457257;0.0;0.0
0.0031685775076918366;3794.2034049765543;0.0;0.0
0.0;639.4885011409364;0.0;0.0
0.0024167151029398266;3172.406036952015;0.0;0.0
1.5259021896696422e-05;2760.5271360974134;0.0;0.0
0.0;1241.1935543459172;0.0;0.0
0.004629487690468161;1515.6075651103188;0.0;0.0
0.0;3544.8428119735254;0.0;0.0
0.0;1274.975264236658;0.0;0.0
7.629976652271444e-05;748.0510645358609;0.0;0.0
3.051850947599719e-05;388.1454616347051;0.0;0.0
0.0002289342348254758;695.4741598211345;0.0;0.0
0.0;1024.629747400721;0.0;0.0
0.00021366869143188546;1084.0541114037476;0.0;0.0
0.0;1519.6703895220496;0.0;0.0
0.0;1547.1450946834054;1.0;0.0
0.0;1058.6744913121208;0.0;0.0
1.5259021896696422e-05;3003.631611527831;0.0;0.0
0.0;1554.2686755215343;0.0;0.0
0.00047324631707503244;1774.9450469007725;0.0;0.0
0.0;876.3461944543653;0.0;0.0
7.629976652271444e-05;871.7661180267326;0.0;0.0
0.00025946671957752715;1438.5923683613648;0.0;0.0
0.0;1240.1063010215767;0.0;0.0
0.0005343429871299674;2457.2780168562813;0.0;0.0
0.0001831390025028997;2572.0219492457536;0.0;0.0
0.0;1406.1581827068646;0.0;0.0
0.0;850.7036348568854;0.0;0.0
0.00047324631707503244;2819.774589424118;0.0;0.0
0.0;884.1639415769555;0.0;0.0
0.0;1024.6025279536352;0.0;0.0
0.0;3808.26117066248;0.0;0.0
0.00035107535908903575;3487.1283178964713;0.0;0.0
0.0;544.9867060861977;0.0;0.0
0.00047324631707503244;1510.2236384834341;0.0;0.0
0.0;1252.621305041428;0.0;0.0
0.0;1240.1458275125447;0.0;0.0
0.0;683.185687254447;0.0;0.0
0.0;322.94033111956156;0.0;0.0
0.0;695.5446626692133;0.0;0.0
0.0016965991593427588;3137.821615361053;0.0;0.0
0.00016787485692483785;1901.3884146975902;0.0;0.0
0.0;1662.7255941612852;0.0;0.0
0.0;653.0645244085526;0.0;0.0
0.0;2671.506915833348;0.0;0.0
0.0;3771.8274332098026;0.0;0.0
0.0017578453401812873;3057.789522785587;0.0;0.0
0.002539391158023558;1483.5260853772838;0.0;0.0
0.0;2716.274022421315;0.0;0.0
0.0;1140.1410421411006;0.0;0.0
0.0;2974.7144825341607;0.0;0.0
0.0;2824.9143013565636;0.0;0.0
0.0;2076.7506137141227;0.0;0.0
0.0;4599.602579115601;0.0;0.0
0.0;1151.7510021061858;0.0;0.0
0.0;339.07277856187875;0.0;0.0
0.0037831794023495536;1847.4378274022492;0.0;0.0
0.0;2171.9364106093753;0.0;0.0
0.0;666.6366762076732;0.0;0.0
0.0;1088.9214883868276;0.0;0.0
0.0;1561.0055400503454;0.0;0.0
0.0006718377817137971;1586.1378348289986;0.0;0.0
0.0;3002.1529030755164;0.0;0.0
0.0;5798.435068317903;0.0;0.0
0.001604743928718803;3831.5147539323066;0.0;0.0
0.00030526894193784725;747.8379871316291;0.0;0.0
0.0;605.8871100104371;0.0;0.0
0.0013904805561922224;1924.2154030171032;0.0;0.0
0.00029000106842498895;1046.2131627400627;0.0;0.0
0.002278740422408124;4744.125411461162;0.0;0.0
0.0;706.3931492555457;0.0;0.0
0.0;2703.8639237185657;0.0;0.0
0.0;215.9063746920683;0.0;0.0
0.0;2486.317059197096;0.0;0.0
0.0;1892.755344056132;0.0;0.0
0.0;704.6265617043885;0.0;0.0
0.0;1064.1598759862331;0.0;0.0
0.0;606.0173106640992;0.0;0.0
0.0;708.4007435766191;0.0;0.0
0.0;878.4946879342326;0.0;0.0
0.0;2052.2527927086603;0.0;0.0
0.0020029049766837398;1131.4389770791227;0.0;0.0
0.0;740.5703715427217;0.0;0.0
0.0;692.7430706614563;0.0;0.0
0.0;3564.7900190317064;0.0;0.0
0.00030526894193784725;2969.6320628925037;0.0;0.0
0.001665978877221942;2382.226620604192;0.0;0.0
0.0;1387.9426989295455;0.0;0.0
